"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"1991","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1992","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1993","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1994","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1995","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1995","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1995","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1995","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1995","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":","z"
"1995","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1995","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1995","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.1",""
"1995","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1995","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1995","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1995","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1995","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1995","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2",""
"1996","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1996","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1996","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1996","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1996","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1996","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":","z"
"1996","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1996","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2",""
"1996","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.1",""
"1996","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1996","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1996","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1996","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1996","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1996","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2",""
"1997","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1997","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1997","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1997","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1997","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1997","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":","z"
"1997","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1997","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1997","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.1",""
"1997","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1997","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1997","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1997","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5",""
"1997","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1997","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2",""
"1998","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1998","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1998","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.1",""
"1998","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1998","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1998","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1998","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1998","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1998","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1998","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1998","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3",""
"1998","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":","z"
"1998","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.4",""
"1998","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
